rank	word	spacy_pos	draft_gloss	final_gloss	needs_review	all_candidates
244	problema	noun	problem, issue, challenge (a difficulty or obstacle that has to be dealt with)			[noun] problem, issue, challenge (a difficulty or obstacle that has to be dealt with) | trouble (in the singular or in the plural) | question, dilemma, conundrum
245	hora	noun	hour (a time period of sixty minutes)			[noun] hour (a time period of sixty minutes) | time (the moment, as indicated by a clock or similar device) | high time (usually with "ya")
246	cierto	adjective	true			[adj] true || [det] a certain, a specific
247	dicho	adjective	mentioned, said, aforementioned			[adj] mentioned, said, aforementioned || [det] said || [noun] saying, expression | remark | proverb || [verb] past participle of decir
248	quien	pronoun	who			[pron] who | whom | whoever; whomever; anyone who
249	demasiado	adverb	too much, excessively, far too much, overmuch (modifying a verb)			[adj] too much, too many, excessive || [adv] too much, excessively, far too much, overmuch (modifying a verb) | too, far too, way too, much too, overly, all too excessively (modifying an adjective or other adverb) | a lot, an awful lot, a whole lot, a great deal
250	amor	noun	love			[noun] love | love affair
251	entre	preposition	between			[prep] between | among, amongst, from | divided by || [verb] inflection of entrar:
252	ve	verb	to see, to spot		L	[noun] The name of the Latin script letter V/v. || [verb] inflection of ver: | second-person singular imperative of ir
253	pasado	adjective	past			[adj] past | former | last || [noun] past, bygones | past || [verb] past participle of pasar
254	familia	noun	family (group of people related to each other)			[noun] family (group of people related to each other) | family (grouping of things possessing common characteristics) | relative, relation (member of one's family)
255	estos	determiner	this	these	L	[det] masculine plural of este || [pron] alternative spelling of éstos (“these ones”)
256	policía	noun	Civility, polity, public order, police, fineness, neatness, urbanity	police; police officer		[noun] Civility, polity, public order, police, fineness, neatness, urbanity | police, police department, police force, police service | police officer (a member of a police force)
257	debería	verb	first/third-person singular conditional of deber	should; ought to	Y	[verb] first/third-person singular conditional of deber
258	ustedes	pronoun	you (plural), you guys, y'all, yous, yinz, ye			[pron] you (plural), you guys, y'all, yous, yinz, ye
259	chica	adjective	small	girl	L	[noun] female equivalent of chico: girl | gal, chick | A spice made from the Sobralia orchid. || [adj] feminine singular of chico
260	esos	determiner	that	those	L	[det] plural of ese; those || [pron] alternative spelling of ésos; those ones
261	chicos	noun	boy; kid		L	[adj] masculine plural of chico || [noun] plural of chico
262	cuenta	verb	to count; to tally		L	[noun] count, tally | operation | bill || [verb] inflection of contar:
263	haces	adjective	bundle	to do; to make	L	[noun] plural of haz || [verb] second-person singular present indicative of hacer
264	todavía	adverb	still, yet			[adv] still, yet | even, still
265	salir	verb	to go out, to leave, to depart, to head out			[verb] to go out, to leave, to depart, to head out | to go out, to come out (to leave one's abode to go to public places) | to come out (e.g. from hiding), to come off (e.g. off the bench in a sport; off of a high place like a roof or ladder)
266	algún	determiner	apocopic form of alguno; some, any	some; any	Y	[det] apocopic form of alguno; some, any
267	vaya	verb	joke; taunt	well!; come on!	Y	[intj] expresses surprise: wow!, why, oh!, whoa!, well!, man!, boy! | expresses dismay, worry, indignation or frustration: gee!, jeez!, gosh!, why, man!, oh dear! | what a ... || [verb] inflection of ir: || [noun] joke; taunt
268	unos	determiner	about, approximately	some; a few		[article] masculine plural of un || [det] plural of uno: some, a few | about, approximately || [pron] plural of uno: some, a few
269	veo	noun	first-person singular present indicative of ver	to see	Y	[verb] first-person singular present indicative of ver
270	amigos	noun	friend		L	[noun] plural of amigo
271	hermano	noun	brother			[noun] brother | sibling | bro, dude (friendly term of address for a male of similar age.) || [verb] first-person singular present indicative of hermanar
272	pensé	verb	to think, ponder		L	[verb] first-person singular preterite indicative of pensar
273	sabía	verb	to know, to understand (a fact)		L	[verb] first/third-person singular imperfect indicative of saber
274	cabeza	noun	head			[noun] head | mind (in certain phrases) | guy, dude, man
275	ah	pronoun	ah (expression of relief, realization, awe)	ah; oh	Y	[intj] ah (expression of relief, realization, awe) | ah (expression of woe, grief)
276	cariño	noun	affection, fondness			[noun] affection, fondness | caress | dear, darling, honey, love
277	digo	verb	to say, to tell		L	[intj] I mean; used to explain or correct a previous utterance || [verb] first-person singular present indicative of decir
278	van	verb	to go (away from speaker and listener)		L	[noun] van (vehicle) || [verb] third-person plural present indicative of ir
279	hombres	noun	man, (adult male human)		L	[noun] plural of hombre
280	buenas	adjective	inheritance	good (also a greeting)	L	[intj] hello, good morning, good afternoon, good evening (greeting used irrespective of the time) || [adj] feminine plural of bueno || [noun] plural of buena
281	somos	verb	to be (essentially or identified as)		L	[verb] first-person plural present indicative of ser || [noun] plural of somo
282	cualquier	determiner	any, whatever, whichever		L	[det] apocopic form of cualquiera; any; whatever; whichever
283	forma	noun	shape; form; figure			[noun] shape; form; figure | way; manner | basis; method || [verb] inflection of formar:
284	mientras	conjunction	while, whilst, as (at the same time as)			[adv] meanwhile || [conj] while, whilst, as (at the same time as) | as long as, so long as (expressing a condition) | however much, however many, “the..., the...” (constructing parallel comparatives)
285	lado	noun	side			[noun] side | face
286	debo	verb	first-person singular present indicative of deber	must; should	Y	[verb] first-person singular present indicative of deber
287	sería	verb	to be (essentially or identified as)		L	[verb] first/third-person singular conditional of ser
288	caso	noun	case (situation or fact)			[noun] case (situation or fact) | case (instance of a medical condition) | case || [verb] first-person singular present indicative of casar
289	pueden	verb	to be able to, can		L	[verb] third-person plural present indicative of poder
290	pasó	verb	to pass, to hand, to slip		L	[verb] third-person singular preterite indicative of pasar
291	primera	adjective	first, first up		L	[noun] first gear (lowest gear in a motor vehicle) | first class || [adj] feminine singular of primero
292	genial	adjective	ingenious, genius	great; awesome		[adj] ingenious, genius | great, very good | genial, pleasant || [adv] very well
293	chico	adjective	small	boy; kid (also: small)		[adj] small || [noun] boy; kid | guy, lad | white-nosed coati (Nasua Narica)
294	supuesto	adjective	supposed, self-styled, alleged			[adj] supposed, self-styled, alleged || [noun] assumption, hypothesis || [verb] past participle of suponer
295	hice	verb	to do	to do; to make	L	[verb] first-person singular preterite indicative of hacer
296	pues	conjunction	so, then; in that case			[conj] so, then; in that case | because, since
297	adiós	interjection	goodbye, farewell			[intj] goodbye, farewell || [noun] farewell; goodbye
298	muchas	determiner	much, a lot of		L	[det] feminine plural of mucho || [pron] feminine plural of mucho
299	personas	noun	person (an individual; usually a human being)		L	[noun] plural of persona || [verb] only used in te personas, second-person singular present indicative of personarse
300	señora	noun	lady			[noun] Ms; a title or form of address for a woman; formerly for a married, divorced, or widowed woman and now commonly for any adult woman regardless of marital status, depending on the region | lady | wife || [adj] feminine singular of señor
