rank	word	spacy_pos	draft_gloss	final_gloss	needs_review	all_candidates
244	problema	noun	problem, issue, challenge (a difficulty or obstacle that has to be dealt with)			[noun] problem, issue, challenge (a difficulty or obstacle that has to be dealt with) | trouble (in the singular or in the plural) | question, dilemma, conundrum
245	hora	noun	hour (a time period of sixty minutes)			[noun] hour (a time period of sixty minutes) | time (the moment, as indicated by a clock or similar device) | high time (usually with "ya")
246	cierto	adjective	true			[adj] true || [det] a certain, a specific
247	dicho	adjective	mentioned, said, aforementioned			[adj] mentioned, said, aforementioned || [det] said || [noun] saying, expression | remark | proverb || [verb] past participle of decir
248	quien	pronoun	who			[pron] who | whom | whoever; whomever; anyone who
249	demasiado	adverb	too much, excessively, far too much, overmuch (modifying a verb)			[adj] too much, too many, excessive || [adv] too much, excessively, far too much, overmuch (modifying a verb) | too, far too, way too, much too, overly, all too excessively (modifying an adjective or other adverb) | a lot, an awful lot, a whole lot, a great deal
250	amor	noun	love			[noun] love | love affair
251	entre	preposition	between			[prep] between | among, amongst, from | divided by || [verb] inflection of entrar:
252	ve	verb	to see, to spot		L	[noun] The name of the Latin script letter V/v. || [verb] inflection of ver: | second-person singular imperative of ir
253	pasado	adjective	past			[adj] past | former | last || [noun] past, bygones | past || [verb] past participle of pasar
254	familia	noun	family (group of people related to each other)			[noun] family (group of people related to each other) | family (grouping of things possessing common characteristics) | relative, relation (member of one's family)
255	estos	determiner	this	these	L	[det] masculine plural of este || [pron] alternative spelling of éstos (“these ones”)
256	policía	noun	Civility, polity, public order, police, fineness, neatness, urbanity	police; police officer		[noun] Civility, polity, public order, police, fineness, neatness, urbanity | police, police department, police force, police service | police officer (a member of a police force)
257	debería	verb	first/third-person singular conditional of deber	should; ought to	Y	[verb] first/third-person singular conditional of deber
258	ustedes	pronoun	you (plural), you guys, y'all, yous, yinz, ye			[pron] you (plural), you guys, y'all, yous, yinz, ye
259	chica	adjective	small	girl	L	[noun] female equivalent of chico: girl | gal, chick | A spice made from the Sobralia orchid. || [adj] feminine singular of chico
260	esos	determiner	that	those	L	[det] plural of ese; those || [pron] alternative spelling of ésos; those ones
261	chicos	noun	boy; kid		L	[adj] masculine plural of chico || [noun] plural of chico
262	cuenta	verb	to count; to tally		L	[noun] count, tally | operation | bill || [verb] inflection of contar:
263	haces	adjective	bundle	to do; to make	L	[noun] plural of haz || [verb] second-person singular present indicative of hacer
264	todavía	adverb	still, yet			[adv] still, yet | even, still
265	salir	verb	to go out, to leave, to depart, to head out			[verb] to go out, to leave, to depart, to head out | to go out, to come out (to leave one's abode to go to public places) | to come out (e.g. from hiding), to come off (e.g. off the bench in a sport; off of a high place like a roof or ladder)
266	algún	determiner	apocopic form of alguno; some, any	some; any	Y	[det] apocopic form of alguno; some, any
267	vaya	verb	joke; taunt	well!; come on!	Y	[intj] expresses surprise: wow!, why, oh!, whoa!, well!, man!, boy! | expresses dismay, worry, indignation or frustration: gee!, jeez!, gosh!, why, man!, oh dear! | what a ... || [verb] inflection of ir: || [noun] joke; taunt
268	unos	determiner	about, approximately	some; a few		[article] masculine plural of un || [det] plural of uno: some, a few | about, approximately || [pron] plural of uno: some, a few
269	veo	noun	first-person singular present indicative of ver	to see	Y	[verb] first-person singular present indicative of ver
270	amigos	noun	friend		L	[noun] plural of amigo
271	hermano	noun	brother			[noun] brother | sibling | bro, dude (friendly term of address for a male of similar age.) || [verb] first-person singular present indicative of hermanar
272	pensé	verb	to think, ponder		L	[verb] first-person singular preterite indicative of pensar
273	sabía	verb	to know, to understand (a fact)		L	[verb] first/third-person singular imperfect indicative of saber
274	cabeza	noun	head			[noun] head | mind (in certain phrases) | guy, dude, man
275	ah	pronoun	ah (expression of relief, realization, awe)	ah; oh	Y	[intj] ah (expression of relief, realization, awe) | ah (expression of woe, grief)
276	cariño	noun	affection, fondness			[noun] affection, fondness | caress | dear, darling, honey, love
277	digo	verb	to say, to tell		L	[intj] I mean; used to explain or correct a previous utterance || [verb] first-person singular present indicative of decir
278	van	verb	to go (away from speaker and listener)		L	[noun] van (vehicle) || [verb] third-person plural present indicative of ir
279	hombres	noun	man, (adult male human)		L	[noun] plural of hombre
280	buenas	adjective	inheritance	good (also a greeting)	L	[intj] hello, good morning, good afternoon, good evening (greeting used irrespective of the time) || [adj] feminine plural of bueno || [noun] plural of buena
281	somos	verb	to be (essentially or identified as)		L	[verb] first-person plural present indicative of ser || [noun] plural of somo
282	cualquier	determiner	any, whatever, whichever		L	[det] apocopic form of cualquiera; any; whatever; whichever
283	forma	noun	shape; form; figure			[noun] shape; form; figure | way; manner | basis; method || [verb] inflection of formar:
284	mientras	conjunction	while, whilst, as (at the same time as)			[adv] meanwhile || [conj] while, whilst, as (at the same time as) | as long as, so long as (expressing a condition) | however much, however many, “the..., the...” (constructing parallel comparatives)
285	lado	noun	side			[noun] side | face
286	debo	verb	first-person singular present indicative of deber	must; should	Y	[verb] first-person singular present indicative of deber
287	sería	verb	to be (essentially or identified as)		L	[verb] first/third-person singular conditional of ser
288	caso	noun	case (situation or fact)			[noun] case (situation or fact) | case (instance of a medical condition) | case || [verb] first-person singular present indicative of casar
289	pueden	verb	to be able to, can		L	[verb] third-person plural present indicative of poder
290	pasó	verb	to pass, to hand, to slip		L	[verb] third-person singular preterite indicative of pasar
291	primera	adjective	first, first up		L	[noun] first gear (lowest gear in a motor vehicle) | first class || [adj] feminine singular of primero
292	genial	adjective	ingenious, genius	great; awesome		[adj] ingenious, genius | great, very good | genial, pleasant || [adv] very well
293	chico	adjective	small	boy; kid (also: small)		[adj] small || [noun] boy; kid | guy, lad | white-nosed coati (Nasua Narica)
294	supuesto	adjective	supposed, self-styled, alleged			[adj] supposed, self-styled, alleged || [noun] assumption, hypothesis || [verb] past participle of suponer
295	hice	verb	to do	to do; to make	L	[verb] first-person singular preterite indicative of hacer
296	pues	conjunction	so, then; in that case			[conj] so, then; in that case | because, since
297	adiós	interjection	goodbye, farewell			[intj] goodbye, farewell || [noun] farewell; goodbye
298	muchas	determiner	much, a lot of		L	[det] feminine plural of mucho || [pron] feminine plural of mucho
299	personas	noun	person (an individual; usually a human being)		L	[noun] plural of persona || [verb] only used in te personas, second-person singular present indicative of personarse
300	señora	noun	lady			[noun] Ms; a title or form of address for a woman; formerly for a married, divorced, or widowed woman and now commonly for any adult woman regardless of marital status, depending on the region | lady | wife || [adj] feminine singular of señor
301	volver	verb	to return, to revert, to get back			[verb] to return, to revert, to get back | to come back, go back | to do again
302	esas	determiner	that		L	[det] feminine plural of ese; those || [pron] alternative spelling of ésas (“those ones”)
303	quizá	adverb	perhaps, maybe			[adv] perhaps, maybe
304	contra	preposition	against, versus			[prep] against, versus || [noun] con (disadvantage) | antidote | counterpunch || [adv] opposite, facing
305	camino	noun	way, route			[noun] way, route | road | path || [verb] first-person singular present indicative of caminar
306	durante	preposition	during, in, over			[prep] during, in, over | for (as a duration)
307	hablando	verb	gerund of hablar			[verb] gerund of hablar
308	manera	noun	way; manner; method; style			[noun] way; manner; method; style
309	muerto	adjective	dead			[adj] dead | exhausted; dead tired | unupdated, inactive, outdated || [noun] a dead person, deceased | dummy | mooring block || [verb] past participle of morir
310	persona	noun	person (an individual; usually a human being)			[noun] person (an individual; usually a human being) | a socially distinguished person, a personality | a wise or otherwise excellent person || [verb] only used in se persona, third-person singular present indicative of personarse
311	rápido	adjective	rapid, quick, fast			[adj] rapid, quick, fast || [adv] rapidly, quickly, fast || [noun] rapid (part of a river) | express train
312	cuál	pronoun	which one, what, which			[det] what; which || [pron] which one, what, which
313	ayuda	noun	help, aid			[noun] help, aid | assistance | guidance || [verb] inflection of ayudar:
314	historia	noun	history (the aggregate of past events)			[noun] history (the aggregate of past events) | history (the branch of knowledge that studies the past) | history (a set of events involving an entity) || [verb] inflection of historiar:
315	iba	verb	to go (away from speaker and listener)		L	[verb] first/third-person singular imperfect indicative of ir
316	supongo	verb	first-person singular present indicative of suponer		Y	[verb] first-person singular present indicative of suponer
317	nueva	adjective	new		L	[noun] news, novelty || [adj] feminine singular of nuevo
318	entiendo	verb	to understand, to fathom		L	[verb] first-person singular present indicative of entender
319	dentro	adverb	inside (for space)			[adv] inside (for space) | indoors | within, in (for time) || [verb] first-person singular present indicative of dentrar
320	casi	adverb	almost			[adv] almost
321	puerta	noun	door (portal of entry into a building)			[noun] door (portal of entry into a building) | gate (doorlike structure outside a house) | gate (passageway in an airport)
322	ves	verb	to see, to spot		L	[verb] inflection of ver: | second-person singular imperative of ir || [noun] plural of ve
323	pasar	verb	to pass, to hand, to slip			[verb] to pass, to hand, to slip | to happen | to pass, to get past, to go past, to go by, to go over, to get through
324	primero	adverb	first; first of all; firstly			[noun] former (in contrast to the latter), first, first one | one of the five bids in the card game of Primero, consisting of a combination of four cards in the hand || [adj] first, first up | top (head) | chief, fundamental || [adv] first; first of all; firstly
325	significa	verb	inflection of significar		Y	[verb] inflection of significar:
326	semana	noun	week (7 days)			[noun] week (7 days)
327	hacia	preposition	toward, towards			[prep] toward, towards | around, about (indicating time)
328	quizás	adverb	maybe, perhaps			[adv] maybe, perhaps
329	espero	verb	to hope		L	[verb] first-person singular present indicative of esperar
330	juntos	adjective	together		L	[adj] masculine plural of junto
331	año	noun	year			[noun] year | age
332	niños	noun	child, boy		L	[noun] plural of niño
333	pronto	adverb	soon, promptly, any time soon			[adj] prompt, on time | ready || [adv] soon, promptly, any time soon
334	tío	noun	uncle (the brother, brother-in-law, or male cousin or cousin-in-law of either parent)			[noun] uncle (the brother, brother-in-law, or male cousin or cousin-in-law of either parent) | unknown or any male person, dude, guy | friend, mate, pal, man, bro
335	suerte	noun	luck, fortune			[noun] luck, fortune | lot, fate | sort, kind, type || [intj] good luck!
336	ciudad	noun	city			[noun] city
337	siquiera	noun	at least, at the least		Y	[adv] at least, at the least | even || [conj] if only
338	feliz	adjective	happy, merry (trait)			[adj] happy, merry (trait) | pleased, glad | joyous, merry, happy
339	venir	verb	Senses relating to literal movement.			[verb] Senses relating to literal movement. | Senses relating to figurative movement.
340	hija	noun	daughter; female equivalent of hijo			[noun] daughter; female equivalent of hijo
341	gustaría	verb	first/third-person singular conditional of gustar		Y	[verb] first/third-person singular conditional of gustar
342	minutos	noun	minute (a unit of time equal to 60 seconds or ¹⁄₆₀ hour)		L	[noun] plural of minuto
343	cuánto	determiner	how much; how many			[adv] how much; how many || [det] how much; how many
344	os	pronoun	you, to you, for you; dative and accusative of vosotros			[pron] you, to you, for you; dative and accusative of vosotros || [intj] alternative form of ox
345	hey	interjection	hey!			[intj] hey!
346	muerte	noun	death (the cessation of life)			[noun] death (the cessation of life) | death (the personification of death as a hooded figure) | death, demise (the collapse or end of something)
347	dejar	verb	to leave (to place)			[verb] to leave (to place) | to leave, to keep (to allow to continue) | to leave (to cause, result in)
348	realidad	noun	reality			[noun] reality | commodity
349	deja	verb	to leave (to place)		L	[noun] rest (that remaining after cutting textiles) || [verb] inflection of dejar:
350	problemas	noun	problem, issue, challenge (a difficulty or obstacle that has to be dealt with)		L	[noun] plural of problema
351	vi	verb	to see, to spot		L	[verb] first-person singular preterite indicative of ver
352	da	verb	to give, to give out		L	[verb] inflection of dar:
353	importante	adjective	important, that cares, that matters.			[adj] important, that cares, that matters.
354	dijiste	verb	second-person singular preterite indicative of decir		Y	[verb] second-person singular preterite indicative of decir
355	corazón	noun	heart (organ of the body)			[noun] heart (organ of the body) | heart, emotions, kindness, spirit | the center of an object
356	miedo	noun	fear			[noun] fear
357	jefe	noun	chief; president; head; leader of a business, political party, or other organization			[noun] chief; president; head; leader of a business, political party, or other organization | boss; supervisor; manager | colonel; major; rank between captain and general
358	agua	noun	water			[noun] water | body of water | rain (condensed water falling from a cloud) || [verb] inflection of aguar:
359	haré	verb	to do		L	[verb] first-person singular future indicative of hacer
360	justo	adjective	just			[adv] right, just | exactly | tightly || [adj] just | fair || [verb] first-person singular present indicative of justar
361	horas	noun	hour (a time period of sixty minutes)		L	[noun] plural of hora
362	poder	verb	to be able to, can			[verb] to be able to, can | to be familiar with something, or with someone's personality || [noun] power (the ability to coerce, influence or control) | proxy (written certificate of authority to act for another) | authorization
363	buenos	adjective	masculine plural of bueno		Y	[adj] masculine plural of bueno
364	esposa	noun	wife			[noun] wife | handcuff || [verb] inflection of esposar:
365	manos	noun	hand		L	[noun] plural of mano
366	debes	verb	second-person singular present indicative of deber		Y	[verb] second-person singular present indicative of deber
367	viene	verb	Senses relating to literal movement.		L	[verb] third-person singular present indicative of venir
368	venga	verb	Senses relating to literal movement.		L	[intj] A cheer or expression of support, encouragement, etc.; come on, attaboy | An expression of amazement or surprise; wow, whoa || [verb] inflection of venir: | inflection of vengar:
369	nuestros	determiner	our, ours, to us		L	[det] masculine plural of nuestro || [pron] plural of nuestro: ours
370	ojos	noun	eye		L	[noun] plural of ojo
371	adelante	adverb	forward (toward the front)			[adv] forward (toward the front) | forward (into the future) || [intj] come in | go ahead || [verb] inflection of adelantar:
372	encontrar	verb	to meet			[verb] to meet | to find, encounter, come across | to meet, bump into
373	mano	noun	hand			[noun] hand | front foot | round; hand || [verb] first-person singular present indicative of manar
374	cinco	number	five			[num] five || [noun] a five
375	niño	noun	child, boy			[noun] child, boy
376	ninguna	determiner	no; none		L	[det] feminine singular of ninguno || [pron] feminine singular of ninguno
377	otros	pronoun	someone else; another person		L	[det] masculine plural of otro || [intj] masculine plural of otro || [pron] plural of otro
378	cara	noun	face (the front part of the head)			[noun] face (the front part of the head) | face (one's facial expression) | face (the frontal aspect of something) || [adj] feminine singular of caro
379	cuidado	adjective	answerable; accountable; responsible			[intj] watch out! | beware! | be careful! || [noun] care (close attention; concern) | care (maintenance, upkeep) | care (the treatment of those in need) || [adj] answerable; accountable; responsible || [verb] past participle of cuidar
380	bajo	preposition	under (in both literal and figurative senses)			[adj] short (of little height) | low, ground (situated close to the ground) | low, bottom, poor (not high in status, amount or quality) || [adv] low | down (location) | down, quietly, softly (volume) || [noun] bass (sound, voice or instrument) | ground floor || [prep] under (in both literal and figurative senses) || [verb] first-person singular present indicative of bajar
381	cerca	adverb	close, near, around, about, nearly, nigh (referring to quantity or time-related)			[adv] close, near, around, about, nearly, nigh (referring to quantity or time-related) | close, near, around, nigh, at hand, close at hand, in sight (spatially) | nearby, close by || [noun] fence (a thin artificial barrier that separates two pieces of land or a house perimeter) | stone wall || [verb] inflection of cercar:
382	viejo	adjective	old (having existed for a long time)			[adj] old (having existed for a long time) | old (having lived for many years) | old (former, previous) || [noun] old person | old man (one's father) | guy or man, especially an adult or a male close to adulthood
383	déjame	noun	second-person singular imperative of dejar combined with me		Y	[verb] second-person singular imperative of dejar combined with me
384	noches	noun	night (the period between sunset and sunrise)		L	[noun] plural of noche
385	bastante	adverb	quite, rather, pretty, fairly			[adj] enough; sufficient | quite some; quite a bit (of) | abundant || [adv] quite, rather, pretty, fairly | enough; sufficiently | quite a bit; to a considerable degree
386	fin	noun	end			[noun] end | purpose, aim, objective, goal | end, stop, halt, close, finish (ending point)
387	tomar	verb	to take			[verb] to take | to drink, have | to take (travel by means of)
388	único	adjective	only; single; sole			[adj] only; single; sole | unique, one-of-a-kind | solitary, alone, only one(s)
389	misma	determiner	same; identical; one and the same; indicates that the two compared noun clauses both represent the one thing		L	[adj] feminine singular of mismo
390	escucha	noun	listening			[noun] listening | monitoring | tapping || [verb] inflection of escuchar:
391	ningún	determiner	no; none		L	[det] apocopic form of ninguno (“not any”)
392	suficiente	adjective	sufficient, enough			[adj] sufficient, enough
393	punto	noun	point (specific spot, location, or place)			[noun] point (specific spot, location, or place) | point (unit of scoring) | point (full stop or period) || [intj] period, end of story | that's it! || [verb] first-person singular present indicative of puntar
394	cuándo	pronoun	when		Y	[adv] when
395	sigue	verb	to follow		L	[verb] inflection of seguir:
396	haya	verb	have; forms the perfect aspect		L	[noun] beech, beech tree || [verb] inflection of haber:
397	equipo	noun	team			[noun] team | equipment, kit, hardware | device || [verb] first-person singular present indicative of equipar
398	grande	adjective	big, large			[adj] big, large | great, grand | aged, old || [noun] grandee | adult, grown-up
399	necesita	verb	inflection of necesitar		Y	[verb] inflection of necesitar:
400	llegar	verb	to arrive, get (to)			[verb] to arrive, get (to) | to get up to, to go up to, to reach (+ a or + hasta) | to be sufficient; to be enough
401	incluso	adverb	even			[adj] enclosed, included || [adv] even | including
402	algunos	pronoun	masculine plural of alguno		Y	[det] masculine plural of alguno || [pron] masculine plural of alguno
403	doctor	noun	doctor (Ph.D.)			[noun] doctor (Ph.D.) | physician
404	difícil	adjective	difficult, hard, tough, challenging, rough, tricky, trying, arduous, testing			[adj] difficult, hard, tough, challenging, rough, tricky, trying, arduous, testing | unlikely (i.e. improbable) | awkward (e.g. situation or position)
405	aunque	conjunction	though, although, even though, albeit			[conj] though, although, even though, albeit | even if, irrespective of (followed by subjunctive verb form)
406	hubiera	verb	have; forms the perfect aspect		L	[verb] first/third-person singular imperfect subjunctive of haber
407	primer	adjective	first, first up		L	[adj] apocopic form of primero (first) | apocopic form of primera (first)
408	coche	noun	car, automobile			[noun] car, automobile | carriage, coach (a wheeled vehicle, generally drawn by horse power) | car (a passenger-carrying unit in a subway or elevated train)
409	hago	verb	to do		L	[verb] first-person singular present indicative of hacer
410	clase	noun	lecture			[noun] lecture | class (lesson) | class (group of students)
411	cuatro	number	four			[num] four || [noun] a four-stringed guitar with the first string a fifth below, instead of a fourth above, the second
412	mas	adverb	obsolete spelling of más			[conj] but | however || [adv] misspelling of más | obsolete spelling of más || [noun] plural of ma
413	dices	noun	second-person singular present indicative of decir		Y	[verb] second-person singular present indicative of decir
414	pequeño	adjective	small; little			[adj] small; little
415	llama	verb	to summon, to call		L	[noun] flame | llama (camelid mammal) || [verb] inflection of llamar:
416	toma	verb	to take		L	[noun] conquest, capture, taking, takeover | dose, serving | intake || [verb] inflection of tomar:
417	hiciste	verb	second-person singular preterite indicative of hacer		Y	[verb] second-person singular preterite indicative of hacer
418	allá	adverb	there, over there, thither, yonder (in a direction away from the speaker and the listener)			[adv] there, over there, thither, yonder (in a direction away from the speaker and the listener) | then; back then (in time) | expressing rejection or lack of interest towards the speaker
419	última	adjective	final; last		L	[adj] feminine singular of último
420	arriba	adverb	above, over			[adv] above, over | up; uphill; upstream; upstairs || [intj] come on! | hurray for (someone)! | up with || [verb] inflection of arribar:
421	tierra	noun	Earth (planet of the Solar System in which all of humanity resides)			[noun] Earth (planet of the Solar System in which all of humanity resides) | land, ground (Earth surface not covered by oceans or other bodies of water) | earth, soil (the unconsolidated mineral or organic material on the immediate surface of the earth)
422	guerra	noun	war, warfare			[noun] war, warfare
423	pensar	verb	to think, ponder			[verb] to think, ponder | to reflect, think through | to think of, think that (have an opinion on)
424	pueda	verb	to be able to, can		L	[verb] inflection of poder:
425	igual	adverb	in the same way; just like			[adj] equal, same | identical, sharing the same characteristics | level (surface) || [noun] equal (a person or thing of equal status) | equals sign || [adv] in the same way; just like | regardless, anyway | maybe
426	loco	adjective	crazy, insane, mad, nuts (asserting that something is out of place in the head)			[adj] crazy, insane, mad, nuts (asserting that something is out of place in the head) | rash, risky, imprudent | tremendous, terrific, huge, enormous || [noun] a crazy person; a madman | dude, guy | a highly affected homosexual; fruit
427	sangre	noun	blood			[noun] blood || [verb] inflection of sangrar:
428	mujeres	noun	woman		L	[noun] plural of mujer (“women”)
429	vuelta	noun	turn			[noun] turn | return | walk || [verb] feminine singular of vuelto
430	fui	verb	to go (away from speaker and listener)		L	[verb] first-person singular preterite indicative of ir | first-person singular preterite indicative of ser
431	trabajar	verb	to work			[verb] to work | to work in, work on, to workshop (+ en) | to suffer
432	tenido	verb	past participle of tener			[verb] past participle of tener
433	juego	noun	play			[noun] play | game; sport | gaming || [verb] first-person singular present indicative of jugar
434	deberías	noun	second-person singular conditional of deber		Y	[verb] second-person singular conditional of deber
435	cuerpo	noun	body (the physical structure of a human or animal)			[noun] body (the physical structure of a human or animal) | body, torso | body, corpse
436	e	conjunction	and			[noun] The name of the Latin script letter E/e. || [conj] and
437	algunas	determiner	feminine plural of alguno		Y	[det] feminine plural of alguno || [pron] feminine plural of alguno; some (some people)
438	entrar	verb	to enter; to come in; to get in; to go in; to get inside; to come on in			[verb] to enter; to come in; to get in; to go in; to get inside; to come on in | to break in | to join; to enter; to start
439	cree	verb	to believe		L	[verb] inflection of crear: | inflection of creer:
440	podía	verb	to be able to, can		L	[verb] first/third-person singular imperfect indicative of poder
441	debemos	verb	first-person plural present indicative of deber		Y	[verb] first-person plural present indicative of deber
442	oportunidad	noun	opportunity, chance, shot, break, occasion, time (in both senses: “chance for advancement, progress or profit” and “favorable circumstance or occasion”)			[noun] opportunity, chance, shot, break, occasion, time (in both senses: “chance for advancement, progress or profit” and “favorable circumstance or occasion”) | timeliness
443	teléfono	noun	telephone (a telecommunication device used for two-way talking with another person)			[noun] telephone (a telecommunication device used for two-way talking with another person) | telephone number (the sequence of digits used to identify a particular destination telephone in a network) | pothos (Epipremnum aureum)
444	necesitamos	verb	first-person plural present/preterite indicative of necesitar		Y	[verb] first-person plural present/preterite indicative of necesitar
445	final	adjective	final (last, ultimate)			[adj] final (last, ultimate) | final (conclusive, decisive) || [noun] end (the terminal point of something in space or time) | final (the last round, game or match in a contest, after which the winner is determined)
446	listo	adjective	clever, smart (with ser)			[adj] clever, smart (with ser) | ready, set, all set, prepared, poised, up, down (with estar) | alert || [intj] get set! (before starting a race) | that's it! (it's finished!) || [verb] first-person singular present indicative of listar
447	fiesta	noun	party			[noun] party | feast | feast day (of a saint)
448	muchos	pronoun	a lot, much		L	[det] masculine plural of mucho || [pron] masculine plural of mucho
449	estabas	verb	second-person singular imperfect indicative of estar		Y	[verb] second-person singular imperfect indicative of estar
450	quieren	verb	third-person plural present indicative of querer		Y	[verb] third-person plural present indicative of querer
451	vete	verb	second-person singular imperative of ir combined with te		Y	[verb] second-person singular imperative of ir combined with te | inflection of ver: | inflection of vetar:
452	auto	noun	car, automobile			[noun] car, automobile | a public deed or ceremony | order, writ, resolution
453	dar	verb	to give, to give out			[verb] to give, to give out | to hand over | to hit (from any distance)
454	vivir	verb	to live; to be alive			[verb] to live; to be alive | to make a living, to live on | to live in, reside, inhabit || [noun] life; lifestyle
455	posible	adjective	possible			[adj] possible
456	hermana	noun	sister; female equivalent of hermano (“brother”)			[noun] sister; female equivalent of hermano (“brother”) || [verb] inflection of hermanar:
457	número	noun	number (counting)			[noun] number (counting) | musical number | number
458	meses	noun	month		L	[noun] plural of mes || [verb] second-person singular present subjunctive of mesar
459	exactamente	adverb	exactly			[adv] exactly
460	culpa	noun	fault			[noun] fault | guilt | blame || [verb] inflection of culpar:
461	abajo	adverb	down, downwards			[adv] down, downwards | downstairs | below || [intj] down with, away with || [verb] first-person singular present indicative of abajar
462	escuela	noun	school (an institution dedicated to teaching and learning)			[noun] school (an institution dedicated to teaching and learning) | school (the followers of a particular doctrine) | crag || [verb] inflection of escolar:
463	ido	adjective	away with the fairies; absent-minded			[adj] away with the fairies; absent-minded | nuts; cuckoo; bonkers (crazy) || [verb] past participle of ir || [noun] Ido (language)
464	fuerte	adjective	strong			[adj] strong | loud | what (a/an) (intensifier, followed by a noun) || [adv] hard || [noun] fort, stronghold | strong point, forte, strength | booze
465	diciendo	verb	gerund of decir			[verb] gerund of decir
466	habla	verb	to talk; to speak; to communicate using words		L	[noun] speech (faculty of speech) | speaking (action) || [verb] inflection of hablar | inflection of hablar:
467	esté	verb	to be (have a temporary or permanent location in space)		L	[verb] inflection of estar:
468	ello	pronoun	he, him, masculine personal third person subject and disjunctive pronoun (used as a subject and after prepositions)		L	[pron] it, neuter third-person subject and disjunctive pronoun || [noun] (Freud's concept of) id
469	pregunta	verb	question (sentence that asks for information)		Y	[noun] question (sentence that asks for information) || [verb] inflection of preguntar:
470	chicas	noun	female equivalent of chico: girl		L	[adj] feminine plural of chico || [noun] plural of chica
471	eran	verb	to be (essentially or identified as)		L	[verb] third-person plural imperfect indicative of ser
472	unas	determiner	one		L	[article] feminine plural of un || [det] feminine plural of uno || [noun] plural of una || [pron] feminine plural of uno || [verb] second-person singular present subjunctive of unir
473	pasando	verb	gerund of pasar			[verb] gerund of pasar
474	atrás	adverb	behind			[adv] behind | back in time, ago || [intj] get back, back off, back away
475	malo	adjective	bad (of bad quality)			[adj] bad (of bad quality) | bad (in a bad state) | bad (morally), evil, mean || [noun] devil | bad guy; baddie; bad boy; bad person
476	capitán	noun	captain (leader)			[noun] captain (leader)
477	sra.	abbreviation	Mrs.; Ms. (abbreviation of señora)			Mrs.; Ms. (abbreviation of señora)
478	bebé	noun	baby			[noun] baby || [verb] second-person singular voseo imperative of beber
479	segundo	adjective	second (after the first)			[adj] second (after the first) || [noun] second (unit of time) | second (short amount of time) | assistant || [verb] first-person singular present indicative of segundar
480	sabemos	verb	to know, to understand (a fact)		L	[verb] first-person plural present indicative of saber
481	mayor	adjective	comparative degree of grande: bigger			[adj] comparative degree of grande: bigger | comparative degree of viejo: older; elder | comparative degree of viejo: old; at an advanced age || [noun] major (military rank) | boss; head | ancestors
482	comida	noun	food			[noun] food | lunch | dinner || [adj] feminine singular of comido || [verb] feminine singular of comido | inflection of comedir:
483	morir	verb	to die			[verb] to die | to be dying (for, to) | to end, to flow into something (a road, river, etc.)
484	conozco	verb	to know (a person or a place), to be familiar with, to be acquainted with		L	[verb] first-person singular present indicative of conocer
485	dame	noun	inflection of dar		Y	[verb] inflection of dar:
486	fácil	adjective	easy, facile, simple (requiring little effort)			[adj] easy, facile, simple (requiring little effort) | easy-to-use, user-friendly (clipping of fácil de usar) | easy (being readily available for sex) || [adv] easily
487	comer	verb	to eat			[verb] to eat | to have lunch | to eat away, corrode || [noun] eating, food
488	vino	verb	Senses relating to literal movement.		L	[noun] wine (an alcoholic beverage made by fermenting grape juice, with an ABV ranging from 5.5–16%) || [verb] third-person singular preterite indicative of venir
489	lista	adjective	clever, smart (with ser)		L	[noun] list, roll | stripe | roster || [adj] feminine singular of listo || [verb] inflection of listar:
490	haga	verb	to do		L	[verb] inflection of hacer:
491	necesitas	noun	second-person singular present indicative of necesitar		Y	[verb] second-person singular present indicative of necesitar
492	hijos	noun	son		L	[noun] plural of hijo (“sons, children”)
493	probablemente	adverb	probably, likely			[adv] probably, likely
494	padres	noun	father		L	[adj] plural of padre || [noun] plural of padre (“parents”)
495	habitación	noun	room (separate part of a building)			[noun] room (separate part of a building) | bedroom (room with a bed for sleeping) | habitation (the act of inhabiting)
496	creer	verb	to believe			[verb] to believe | to think, to believe, to reckon, to be of the opinion | to give credence to
497	pensando	verb	gerund of pensar			[verb] gerund of pensar
498	fueron	verb	to be (essentially or identified as)		L	[verb] third-person plural preterite indicative of ir | third-person plural preterite indicative of ser
499	dime	noun	second-person singular imperative of decir combined with me		Y	[verb] second-person singular imperative of decir combined with me
500	trata	verb	to treat (to handle, behave toward in a specific way)		L	[noun] trafficking, trade, slave trade || [verb] inflection of tratar:
501	buscando	verb	gerund of buscar			[verb] gerund of buscar
502	tuve	verb	to have; to possess		L	[verb] first-person singular preterite indicative of tener
503	tampoco	adverb	neither; nor; also not			[adv] neither; nor; also not | either (as well, with implied negative)
504	amo	verb	master (man who owns a slave)		Y	[noun] master (man who owns a slave) | owner, master, keeper (man who owns an animal) | boss, manager || [verb] first-person singular present indicative of amar
505	joven	noun	youth, young person, youngster			[adj] young, youthful || [noun] youth, young person, youngster
506	podrías	noun	second-person singular conditional of poder		Y	[verb] second-person singular conditional of poder
507	sola	adjective	sole; one; only; single (unique)		L	[adj] feminine singular of solo
508	par	noun	pair (two of the same or similar items that go together)			[adj] even (divisible by two) || [noun] pair (two of the same or similar items that go together) | couple (two of the same or similar items) | two equal non-collinear forces; that is a force couple in Newtonian mechanics
509	única	adjective	only; single; sole		L	[adj] feminine singular of único
