rank,word,gloss,pos,lemma,ipa,syllables,stress
368,venga,Senses relating to literal movement.,verb,venir,/ˈbenɡa/,ven-ga,ven
369,nuestros,"our, ours, to us",determiner,nuestro,/ˈnuestɾos/,nues-tros,nues
370,ojos,eye,noun,ojo,/ˈoxos/,o-jos,o
371,adelante,forward (toward the front),adverb,adelante,/adeˈlante/,a-de-lan-te,lan
372,encontrar,to meet,verb,encontrar,/enkonˈtɾaɾ/,en-con-trar,trar
373,mano,hand,noun,mano,/ˈmano/,ma-no,ma
374,cinco,five,number,cinco,/ˈsinko/,cin-co,cin
375,niño,"child, boy",noun,niño,/ˈniɲo/,ni-ño,ni
376,ninguna,no; none,determiner,ninguno,/ninˈɡuna/,nin-gu-na,gu
377,otros,someone else; another person,pronoun,otro,/ˈotɾos/,o-tros,o
378,cara,face (the front part of the head),noun,cara,/ˈkaɾa/,ca-ra,ca
379,cuidado,answerable; accountable; responsible,adjective,cuidado,/kuiˈdado/,cui-da-do,da
380,bajo,under (in both literal and figurative senses),preposition,bajo,/ˈbaxo/,ba-jo,ba
381,cerca,"close, near, around, about, nearly, nigh (referring to quantity or time-related)",adverb,cerca,/ˈseɾka/,cer-ca,cer
382,viejo,old (having existed for a long time),adjective,viejo,/ˈbiexo/,vie-jo,vie
383,déjame,second-person singular imperative of dejar combined with me,noun,déjame,/ˈdexame/,dé-ja-me,dé
384,noches,night (the period between sunset and sunrise),noun,noche,/ˈnotʃes/,no-ches,no
385,bastante,"quite, rather, pretty, fairly",adverb,bastante,/basˈtante/,bas-tan-te,tan
386,fin,end,noun,fin,/ˈfin/,fin,fin
387,tomar,to take,verb,tomar,/toˈmaɾ/,to-mar,mar
388,único,only; single; sole,adjective,único,/ˈuniko/,ú-ni-co,ú
389,misma,same; identical; one and the same; indicates that the two compared noun clauses both represent the one thing,determiner,mismo,/ˈmisma/,mis-ma,mis
390,escucha,listening,noun,escucha,/esˈkutʃa/,es-cu-cha,cu
391,ningún,no; none,determiner,ninguno,/ninˈɡun/,nin-gún,gún
392,suficiente,"sufficient, enough",adjective,suficiente,/sufiˈsiente/,su-fi-cien-te,cien
393,punto,"point (specific spot, location, or place)",noun,punto,/ˈpunto/,pun-to,pun
394,cuándo,when,pronoun,cuándo,/ˈkuando/,cuán-do,cuán
395,sigue,to follow,verb,seguir,/ˈsiɡe/,si-gue,si
396,haya,have; forms the perfect aspect,verb,haber,/ˈaʝa/,ha-ya,ha
397,equipo,team,noun,equipo,/eˈkipo/,e-qui-po,qui
398,grande,"big, large",adjective,grande,/ˈɡɾande/,gran-de,gran
399,necesita,inflection of necesitar,verb,necesitar,/neseˈsita/,ne-ce-si-ta,si
400,llegar,"to arrive, get (to)",verb,llegar,/ʝeˈɡaɾ/,lle-gar,gar
401,incluso,even,adverb,incluso,/inˈkluso/,in-clu-so,clu
402,algunos,masculine plural of alguno,pronoun,alguno,/alˈɡunos/,al-gu-nos,gu
403,doctor,doctor (Ph.D.),noun,doctor,/dosˈtoɾ/,doc-tor,tor
404,difícil,"difficult, hard, tough, challenging, rough, tricky, trying, arduous, testing",adjective,difícil,/diˈfisil/,di-fí-cil,fí
405,aunque,"though, although, even though, albeit",conjunction,aunque,/ˈaunke/,aun-que,aun
406,hubiera,have; forms the perfect aspect,verb,haber,/uˈbieɾa/,hu-bie-ra,bie
407,primer,"first, first up",adjective,primero,/pɾiˈmeɾ/,pri-mer,mer
408,coche,"car, automobile",noun,coche,/ˈkotʃe/,co-che,co
409,hago,to do,verb,hacer,/ˈaɡo/,ha-go,ha
410,clase,lecture,noun,clase,/ˈklase/,cla-se,cla
411,cuatro,four,number,cuatro,/ˈkuatɾo/,cua-tro,cua
412,mas,obsolete spelling of más,adverb,mas,/ˈmas/,mas,mas
413,dices,second-person singular present indicative of decir,noun,diz,/ˈdises/,di-ces,di
414,pequeño,small; little,adjective,pequeño,/peˈkeɲo/,pe-que-ño,que
415,llama,"to summon, to call",verb,llamar,/ˈʝama/,lla-ma,lla
416,toma,to take,verb,tomar,/ˈtoma/,to-ma,to
417,hiciste,second-person singular preterite indicative of hacer,verb,hiciste,/iˈsiste/,hi-cis-te,cis
418,allá,"there, over there, thither, yonder (in a direction away from the speaker and the listener)",adverb,allá,/aˈʝa/,a-llá,llá
419,última,final; last,adjective,último,/ˈultima/,úl-ti-ma,úl
420,arriba,"above, over",adverb,arriba,/aˈriba/,a-rri-ba,rri
421,tierra,Earth (planet of the Solar System in which all of humanity resides),noun,tierra,/ˈtiera/,tie-rra,tie
422,guerra,"war, warfare",noun,guerra,/ˈɡera/,gue-rra,gue
423,pensar,"to think, ponder",verb,pensar,/penˈsaɾ/,pen-sar,sar
424,pueda,"to be able to, can",verb,poder,/ˈpueda/,pue-da,pue
425,igual,in the same way; just like,adverb,igual,/iˈɡual/,i-gual,gual
426,loco,"crazy, insane, mad, nuts (asserting that something is out of place in the head)",adjective,loco,/ˈloko/,lo-co,lo
427,sangre,blood,noun,sangre,/ˈsanɡɾe/,san-gre,san
428,mujeres,woman,noun,mujer,/muˈxeɾes/,mu-je-res,je
429,vuelta,turn,noun,vuelta,/ˈbuelta/,vuel-ta,vuel
430,fui,to go (away from speaker and listener),verb,ir,/ˈfui/,fui,fui
431,trabajar,to work,verb,trabajar,/tɾabaˈxaɾ/,tra-ba-jar,jar
432,tenido,past participle of tener,verb,tener,/teˈnido/,te-ni-do,ni
433,juego,play,noun,juego,/ˈxueɡo/,jue-go,jue
434,deberías,second-person singular conditional of deber,noun,debería,/debeˈɾias/,de-be-rí-as,rí
435,cuerpo,body (the physical structure of a human or animal),noun,cuerpo,/ˈkueɾpo/,cuer-po,cuer
436,e,and,conjunction,e,/ˈe/,e,e
437,algunas,feminine plural of alguno,determiner,alguno,/alˈɡunas/,al-gu-nas,gu
438,entrar,to enter; to come in; to get in; to go in; to get inside; to come on in,verb,entrar,/enˈtɾaɾ/,en-trar,trar
439,cree,to believe,verb,creer,/ˈkɾee/,cre-e,cre
440,podía,"to be able to, can",verb,poder,/poˈdia/,po-dí-a,dí
441,debemos,first-person plural present indicative of deber,verb,deber,/deˈbemos/,de-be-mos,be
442,oportunidad,"opportunity, chance, shot, break, occasion, time (in both senses: “chance for advancement, progress or profit” and “favorable circumstance or occasion”)",noun,oportunidad,/opoɾtuniˈdad/,o-por-tu-ni-dad,dad
443,teléfono,telephone (a telecommunication device used for two-way talking with another person),noun,teléfono,/teˈlefono/,te-lé-fo-no,lé
444,necesitamos,first-person plural present/preterite indicative of necesitar,verb,necesitar,/nesesiˈtamos/,ne-ce-si-ta-mos,ta
445,final,"final (last, ultimate)",adjective,final,/fiˈnal/,fi-nal,nal
446,listo,"clever, smart (with ser)",adjective,listo,/ˈlisto/,lis-to,lis
447,fiesta,party,noun,fiesta,/ˈfiesta/,fies-ta,fies
448,muchos,"a lot, much",pronoun,mucho,/ˈmutʃos/,mu-chos,mu
449,estabas,second-person singular imperfect indicative of estar,verb,estabas,/esˈtabas/,es-ta-bas,ta
450,quieren,third-person plural present indicative of querer,verb,querer,/ˈkieɾen/,quie-ren,quie
451,vete,second-person singular imperative of ir combined with te,verb,vetar,/ˈbete/,ve-te,ve
452,auto,"car, automobile",noun,auto,/ˈauto/,au-to,au
453,dar,"to give, to give out",verb,dar,/ˈdaɾ/,dar,dar
454,vivir,to live; to be alive,verb,vivir,/biˈbiɾ/,vi-vir,vir
455,posible,possible,adjective,posible,/poˈsible/,po-si-ble,si
456,hermana,sister; female equivalent of hermano (“brother”),noun,hermana,/eɾˈmana/,her-ma-na,ma
457,número,number (counting),noun,número,/ˈnumeɾo/,nú-me-ro,nú
458,meses,month,noun,mes,/ˈmeses/,me-ses,me
459,exactamente,exactly,adverb,exactamente,/eksastaˈmente/,e-xac-ta-men-te,men
460,culpa,fault,noun,culpa,/ˈkulpa/,cul-pa,cul
461,abajo,"down, downwards",adverb,abajo,/aˈbaxo/,a-ba-jo,ba
462,escuela,school (an institution dedicated to teaching and learning),noun,escuela,/esˈkuela/,es-cue-la,cue
463,ido,away with the fairies; absent-minded,adjective,ido,/ˈido/,i-do,i
464,fuerte,strong,adjective,fuerte,/ˈfueɾte/,fuer-te,fuer
465,diciendo,gerund of decir,verb,decir,/diˈsiendo/,di-cien-do,cien
466,habla,to talk; to speak; to communicate using words,verb,hablar,/ˈabla/,ha-bla,ha
467,esté,to be (have a temporary or permanent location in space),verb,estar,/esˈte/,es-té,té
468,ello,"he, him, masculine personal third person subject and disjunctive pronoun (used as a subject and after prepositions)",pronoun,él,/ˈeʝo/,e-llo,e
469,pregunta,question (sentence that asks for information),verb,preguntar,/pɾeˈɡunta/,pre-gun-ta,gun
470,chicas,female equivalent of chico: girl,noun,chica,/ˈtʃikas/,chi-cas,chi
471,eran,to be (essentially or identified as),verb,ser,/ˈeɾan/,e-ran,e
472,unas,one,determiner,uno,/ˈunas/,u-nas,u
473,pasando,gerund of pasar,verb,pasar,/paˈsando/,pa-san-do,san
474,atrás,behind,adverb,atrás,/aˈtɾas/,a-trás,trás
475,malo,bad (of bad quality),adjective,malo,/ˈmalo/,ma-lo,ma
476,capitán,captain (leader),noun,capitán,/kapiˈtan/,ca-pi-tán,tán
477,sra.,Mrs.; Ms. (abbreviation of señora),abbreviation,señora,/ˈsra./,sra.,sra.
478,bebé,baby,noun,bebé,/beˈbe/,be-bé,bé
479,segundo,second (after the first),adjective,segundo,/seˈɡundo/,se-gun-do,gun
480,sabemos,"to know, to understand (a fact)",verb,saber,/saˈbemos/,sa-be-mos,be
481,mayor,comparative degree of grande: bigger,adjective,mayor,/maˈʝoɾ/,ma-yor,yor
482,comida,food,noun,comida,/koˈmida/,co-mi-da,mi
483,morir,to die,verb,morir,/moˈɾiɾ/,mo-rir,rir
484,conozco,"to know (a person or a place), to be familiar with, to be acquainted with",verb,conocer,/koˈnosko/,co-noz-co,noz
485,dame,inflection of dar,noun,dame,/ˈdame/,da-me,da
486,fácil,"easy, facile, simple (requiring little effort)",adjective,fácil,/ˈfasil/,fá-cil,fá
487,comer,to eat,verb,comer,/koˈmeɾ/,co-mer,mer
488,vino,Senses relating to literal movement.,verb,venir,/ˈbino/,vi-no,vi
489,lista,"clever, smart (with ser)",adjective,listo,/ˈlista/,lis-ta,lis
490,haga,to do,verb,hacer,/ˈaɡa/,ha-ga,ha
491,necesitas,second-person singular present indicative of necesitar,noun,necesita,/neseˈsitas/,ne-ce-si-tas,si
492,hijos,son,noun,hijo,/ˈixos/,hi-jos,hi
493,probablemente,"probably, likely",adverb,probablemente,/pɾobableˈmente/,pro-ba-ble-men-te,men
494,padres,father,noun,padre,/ˈpadɾes/,pa-dres,pa
495,habitación,room (separate part of a building),noun,habitación,/abitaˈsion/,ha-bi-ta-ción,ción
496,creer,to believe,verb,creer,/kɾeˈeɾ/,cre-er,er
497,pensando,gerund of pensar,verb,pensar,/penˈsando/,pen-san-do,san
498,fueron,to be (essentially or identified as),verb,ser,/ˈfueɾon/,fue-ron,fue
499,dime,second-person singular imperative of decir combined with me,noun,dime,/ˈdime/,di-me,di
500,trata,"to treat (to handle, behave toward in a specific way)",verb,tratar,/ˈtɾata/,tra-ta,tra
501,buscando,gerund of buscar,verb,buscar,/busˈkando/,bus-can-do,can
502,tuve,to have; to possess,verb,tener,/ˈtube/,tu-ve,tu
503,tampoco,neither; nor; also not,adverb,tampoco,/tamˈpoko/,tam-po-co,po
504,amo,master (man who owns a slave),verb,amar,/ˈamo/,a-mo,a
505,joven,"youth, young person, youngster",noun,joven,/ˈxoben/,jo-ven,jo
506,podrías,second-person singular conditional of poder,noun,podría,/poˈdɾias/,po-drí-as,drí
507,sola,sole; one; only; single (unique),adjective,solo,/ˈsola/,so-la,so
508,par,pair (two of the same or similar items that go together),noun,par,/ˈpaɾ/,par,par
509,única,only; single; sole,adjective,único,/ˈunika/,ú-ni-ca,ú
510,hacen,to do,verb,hacer,/ˈasen/,ha-cen,ha
511,seguir,to follow,verb,seguir,/seˈɡiɾ/,se-guir,guir
512,dr.,Dr. (abbreviation of doctor),abbreviation,doctor,/ˈdɾ./,dr.,dr.
513,simplemente,simply,adverb,simplemente,/simpleˈmente/,sim-ple-men-te,men
514,dicen,"to say, to tell",verb,decir,/ˈdisen/,di-cen,di
515,medio,half (one of two equal parts of any whole),noun,medio,/ˈmedio/,me-dio,me
516,puta,"whore, slut, prostitute",noun,puta,/ˈputa/,pu-ta,pu
517,saben,"to know, to understand (a fact)",verb,saber,/ˈsaben/,sa-ben,sa
518,sentido,sense (faculties of perception),noun,sentido,/senˈtido/,sen-ti-do,ti
519,hagas,second-person singular present subjunctive of hacer,noun,haga,/ˈaɡas/,ha-gas,ha
520,segura,secure; safe (free from danger),adjective,seguro,/seˈɡuɾa/,se-gu-ra,gu
521,esperar,to hope,verb,esperar,/espeˈɾaɾ/,es-pe-rar,rar
522,lejos,"far, far away",adverb,lejos,/ˈlexos/,le-jos,le
523,arma,"weapon, arm",noun,arma,/ˈaɾma/,ar-ma,ar
524,alto,tall,adjective,alto,/ˈalto/,al-to,al
525,pequeña,small; little,adjective,pequeño,/peˈkeɲa/,pe-que-ña,que
526,dólares,plural of dólar,noun,dólares,/ˈdolaɾes/,dó-la-res,dó
527,seis,six,number,seis,/ˈseis/,seis,seis
528,estaban,to be (have a temporary or permanent location in space),verb,estar,/esˈtaban/,es-ta-ban,ta
529,seguridad,"safety, security",noun,seguridad,/seɡuɾiˈdad/,se-gu-ri-dad,dad
530,maldita,cursed,adjective,maldito,/malˈdita/,mal-di-ta,di
531,estuvo,to be (have a temporary or permanent location in space),verb,estar,/esˈtubo/,es-tu-vo,tu
532,preocupes,second-person singular present subjunctive of preocupar,noun,preocup,/pɾeoˈkupes/,pre-o-cu-pes,cu
533,palabra,word,noun,palabra,/paˈlabɾa/,pa-la-bra,la
534,esperando,gerund of esperar,verb,esperar,/espeˈɾando/,es-pe-ran-do,ran
535,queda,"to be (as a result of something), to end up",verb,quedar,/ˈkeda/,que-da,que
536,oficina,office (a room used for non-manual work),noun,oficina,/ofiˈsina/,o-fi-ci-na,ci
537,matar,"to kill, slay",verb,matar,/maˈtaɾ/,ma-tar,tar
538,iré,to go (away from speaker and listener),verb,ir,/iˈɾe/,i-ré,ré
539,cama,bed,noun,cama,/ˈkama/,ca-ma,ca
540,además,"in addition, moreover, furthermore, further, also, additionally",adverb,además,/adeˈmas/,a-de-más,más
541,último,final; last,adjective,último,/ˈultimo/,úl-ti-mo,úl
542,oído,hearing,adjective,oído,/oˈido/,o-í-do,í
543,habría,have; forms the perfect aspect,verb,haber,/aˈbɾia/,ha-brí-a,brí
544,estará,to be (have a temporary or permanent location in space),verb,estar,/estaˈɾa/,es-ta-rá,rá
545,dio,"to give, to give out",verb,dar,/ˈdio/,dio,dio
546,recuerdo,memory (a specific thing that is remembered),verb,recordar,/reˈkueɾdo/,re-cuer-do,cuer
547,siendo,gerund of ser,verb,ser,/ˈsiendo/,sien-do,sien
548,acerca,adjacent,adverb,acerca,/aˈseɾka/,a-cer-ca,cer
549,tenga,to have; to possess,verb,tener,/ˈtenɡa/,ten-ga,ten
550,luz,light,noun,luz,/ˈlus/,luz,luz
551,correcto,"correct, right",adjective,correcto,/koˈresto/,co-rrec-to,rrec
552,ud.,you (formal); abbreviation of usted,abbreviation,usted,/ˈud./,ud.,ud.
553,demonios,"the hell, on earth (for emphasis after a question word)",noun,demonio,/deˈmonios/,de-mo-nios,mo
554,nuestras,"our, ours, to us",determiner,nuestro,/ˈnuestɾas/,nues-tras,nues
555,verte,infinitive of ver combined with te,noun,verte,/ˈbeɾte/,ver-te,ver
556,dormir,to sleep,verb,dormir,/doɾˈmiɾ/,dor-mir,mir
557,sitio,"site, place",noun,sitio,/ˈsitio/,si-tio,si
558,ayudar,to help,verb,ayudar,/aʝuˈdaɾ/,a-yu-dar,dar
559,conseguir,"to achieve, succeed in, reach, accomplish, attain",verb,conseguir,/konseˈɡiɾ/,con-se-guir,guir
560,di,obsolete spelling of dice,verb,dar,/ˈdi/,di,di
561,marido,husband,noun,marido,/maˈɾido/,ma-ri-do,ri
562,paz,peace (warlessness),noun,paz,/ˈpas/,paz,paz
563,idiota,"idiot, moron, fool, dork, eejit",noun,idiota,/iˈdiota/,i-dio-ta,dio
564,plan,plan,noun,plan,/ˈplan/,plan,plan
565,dado,a die or dice,adjective,dado,/ˈdado/,da-do,da
566,cuanto,quantum,noun,cuanto,/ˈkuanto/,cuan-to,cuan
567,peor,comparative degree of malo: worse,adjective,peor,/peˈoɾ/,pe-or,or
568,murió,to die,verb,morir,/muˈɾio/,mu-rió,rió
569,pueblo,"town, village",noun,pueblo,/ˈpueblo/,pue-blo,pue
570,vivo,"alive, living (having life)",adjective,vivo,/ˈbibo/,vi-vo,vi
571,venido,past participle of venir,adjective,venido,/beˈnido/,ve-ni-do,ni
572,basta,basting,verb,bastar,/ˈbasta/,bas-ta,bas
573,paso,"step, footstep",noun,paso,/ˈpaso/,pa-so,pa
574,deberíamos,first-person plural conditional of deber,verb,debeer,/debeˈɾiamos/,de-be-rí-a-mos,rí
575,música,music,noun,música,/ˈmusika/,mú-si-ca,mú
576,diga,"to say, to tell",verb,decir,/ˈdiɡa/,di-ga,di
577,minuto,minute (a unit of time equal to 60 seconds or ¹⁄₆₀ hour),noun,minuto,/miˈnuto/,mi-nu-to,nu
578,anoche,last night,adverb,anoche,/aˈnotʃe/,a-no-che,no
579,llamar,"to summon, to call",verb,llamar,/ʝaˈmaɾ/,lla-mar,mar
580,piensa,"to think, ponder",verb,pensar,/ˈpiensa/,pien-sa,pien
581,país,country (the territory of a nation),noun,país,/paˈis/,pa-ís,ís
582,digas,way to say hello on the telephone,noun,diga,/ˈdiɡas/,di-gas,di
583,rey,king,noun,rey,/ˈrei̯/,rey,rey
584,perdón,pardon,noun,perdón,/peɾˈdon/,per-dón,dón
585,mucha,"much, a lot of",determiner,mucho,/ˈmutʃa/,mu-cha,mu
586,falta,"lack, shortage",verb,faltar,/ˈfalta/,fal-ta,fal
587,pienso,"to think, ponder",verb,pensar,/ˈpienso/,pien-so,pien
588,diablos,devil,noun,diablo,/ˈdiablos/,dia-blos,dia
589,perdido,lost,adjective,perdido,/peɾˈdido/,per-di-do,di
590,niña,"girl, female equivalent of niño",noun,niña,/ˈniɲa/,ni-ña,ni
591,señorita,young woman,verb,señoritar,/seɲoˈɾita/,se-ño-ri-ta,ri
592,diez,ten,number,diez,/ˈdies/,diez,diez
593,lleva,to take somewhere (most of the time away from the speaker),verb,llevar,/ˈʝeba/,lle-va,lle
594,hospital,hospital,noun,hospital,/ospiˈtal/,hos-pi-tal,tal
595,grandes,"big, large",adjective,grande,/ˈɡɾandes/,gran-des,gran
596,maldito,cursed,adjective,maldito,/malˈdito/,mal-di-to,di
597,otras,"other, another",determiner,otro,/ˈotɾas/,o-tras,o
598,llamado,called,adjective,llamado,/ʝaˈmado/,lla-ma-do,ma
599,hacemos,to do,verb,hacer,/aˈsemos/,ha-ce-mos,ce
600,llevar,to take somewhere (most of the time away from the speaker),verb,llevar,/ʝeˈbaɾ/,lle-var,var
601,fuego,fire,noun,fuego,/ˈfueɡo/,fue-go,fue
602,aqui,misspelling of aquí,verb,aqui,/ˈaki/,a-qui,a
603,tuvo,to have; to possess,verb,tener,/ˈtubo/,tu-vo,tu
604,poner,"to put, to put up, to place, to lay",verb,poner,/poˈneɾ/,po-ner,ner
605,calle,street,noun,calle,/ˈkaʝe/,ca-lle,ca
606,acaba,inflection of acabar,verb,acabar,/aˈkaba/,a-ca-ba,ca
607,prueba,proof; evidence (usually in the plural),noun,prueba,/ˈpɾueba/,prue-ba,prue
608,increíble,"incredible, unbelievable",adjective,increíble,/inkɾeˈible/,in-cre-í-ble,í
609,real,real,adjective,real,/reˈal/,re-al,al
610,libro,book,noun,libro,/ˈlibɾo/,li-bro,li
611,orden,order (command),noun,orden,/ˈoɾden/,or-den,or
612,semanas,week (7 days),noun,semana,/seˈmanas/,se-ma-nas,ma
613,especial,special (distinguished by a unique quality),adjective,especial,/espeˈsial/,es-pe-cial,cial
614,mía,mine; of mine,pronoun,mío,/ˈmia/,mí-a,mí
615,café,coffee,noun,café,/kaˈfe/,ca-fé,fé
616,duro,hard (not soft),adjective,duro,/ˈduɾo/,du-ro,du
617,empezar,"to start, begin, to get started",verb,empezar,/empeˈsaɾ/,em-pe-zar,zar
618,afuera,"out, outside",adjective,afuero,/aˈfueɾa/,a-fue-ra,fue
619,queremos,first-person plural present indicative of querer,verb,querer,/keˈɾemos/,que-re-mos,re
620,perro,"dog (the species Canis familiaris (sometimes designated Canis lupus familiaris), domesticated for thousands of years and of highly variable appearance because of human breeding)",noun,perro,/ˈpero/,pe-rro,pe
621,cielo,sky,noun,cielo,/ˈsielo/,cie-lo,cie
622,puesto,standing,adjective,puesto,/ˈpuesto/,pues-to,pues
623,viaje,voyage,noun,viaje,/ˈbiaxe/,via-je,via
624,detrás,"behind, at the rear",adverb,detrás,/deˈtɾas/,de-trás,trás
625,cuarto,fourth,adjective,cuarto,/ˈkuaɾto/,cuar-to,cuar
626,querida,"dear (also used in letter introductions, etc.)",adjective,querido,/keˈɾida/,que-ri-da,ri
627,haría,to do,verb,hacer,/aˈɾia/,ha-rí-a,rí
628,preguntas,question (sentence that asks for information),noun,pregunta,/pɾeˈɡuntas/,pre-gun-tas,gun
629,piensas,second-person singular present indicative of pensar,adjective,piensa,/ˈpiensas/,pien-sas,pien
630,querido,"dear (also used in letter introductions, etc.)",adjective,querido,/keˈɾido/,que-ri-do,ri
631,libre,free (not imprisoned or enslaved),adjective,libre,/ˈlibɾe/,li-bre,li
632,buscar,"to seek, search for, look for, try to find, to scour",verb,buscar,/busˈkaɾ/,bus-car,car
633,cual,"suchlike, like (which), such as",pronoun,cual,/ˈkual/,cual,cual
634,diré,"to say, to tell",verb,decir,/diˈɾe/,di-ré,ré
635,suena,inflection of sonar,verb,sonar,/ˈsuena/,sue-na,sue
636,jugar,to play,verb,jugar,/xuˈɡaɾ/,ju-gar,gar
637,cambio,"change, shift",noun,cambio,/ˈkambio/,cam-bio,cam
638,película,film (layer),noun,película,/peˈlikula/,pe-lí-cu-la,lí
639,millones,plural of millón,noun,millón,/miˈʝones/,mi-llo-nes,llo
640,habrá,have; forms the perfect aspect,verb,haber,/aˈbɾa/,ha-brá,brá
641,llamada,called,adjective,llamado,/ʝaˈmada/,lla-ma-da,ma
642,resto,"rest, remainder",noun,resto,/ˈresto/,res-to,res
643,vemos,"to see, to spot",verb,ver,/ˈbemos/,ve-mos,ve
644,extraño,"strange, unusual, odd, weird, bizarre, uncanny, rare, peculiar, freaky, freakish, freak, curious",adjective,extraño,/eksˈtɾaɲo/,ex-tra-ño,tra
645,mala,bad (of bad quality),adjective,malo,/ˈmala/,ma-la,ma
646,presidente,president,noun,presidente,/pɾesiˈdente/,pre-si-den-te,den
647,srta.,Miss (abbreviation of señorita),abbreviation,señorita,/ˈsrta./,srta.,srta.
648,irme,infinitive of ir combined with me,verb,ir yo,/ˈiɾme/,ir-me,ir
649,ropa,"garment, clothing, clothes, robes",noun,ropa,/ˈropa/,ro-pa,ro
650,perder,to lose,verb,perder,/peɾˈdeɾ/,per-der,der
651,vuelve,"to return, to revert, to get back",verb,volver,/ˈbuelbe/,vuel-ve,vuel
652,agente,agent,noun,agente,/aˈxente/,a-gen-te,gen
653,palabras,word,noun,palabra,/paˈlabɾas/,pa-la-bras,la
654,información,"information, data",noun,información,/infoɾmaˈsion/,in-for-ma-ción,ción
655,raro,rare,adjective,raro,/ˈraɾo/,ra-ro,ra
656,hará,to do,verb,hacer,/aˈɾa/,ha-rá,rá
657,entiendes,second-person singular present indicative of entender,noun,entiend,/enˈtiendes/,en-tien-des,tien
658,éste,this one,pronoun,este,/ˈeste/,és-te,és
659,trabajando,gerund of trabajar,verb,trabajar,/tɾabaˈxando/,tra-ba-jan-do,jan
660,tratando,gerund of tratar,verb,tratar,/tɾaˈtando/,tra-tan-do,tan
661,general,"general, overall",adjective,general,/xeneˈɾal/,ge-ne-ral,ral
662,trato,"to treat (to handle, behave toward in a specific way)",verb,tratar,/ˈtɾato/,tra-to,tra
663,usar,to use,verb,usar,/uˈsaɾ/,u-sar,sar
664,perfecto,perfect,adjective,perfecto,/peɾˈfesto/,per-fec-to,fec
665,derecho,straight (not crooked or bent; having a constant direction throughout its length),adjective,derecho,/deˈɾetʃo/,de-re-cho,re
666,modo,"way, manner",noun,modo,/ˈmodo/,mo-do,mo
667,ayer,yesterday,adverb,ayer,/aˈʝeɾ/,a-yer,yer
668,conoces,second-person singular present indicative of conocer,noun,conoz,/koˈnoses/,co-no-ces,no
669,demás,"others, other ones",pronoun,demá,/deˈmas/,de-más,más
670,quieras,second-person singular present subjunctive of querer,verb,quieras,/ˈkieɾas/,quie-ras,quie
671,podríamos,"to be able to, can",verb,poder,/poˈdɾiamos/,po-drí-a-mos,drí
672,noticias,plural of noticia,noun,noticia,/noˈtisias/,no-ti-cias,ti
673,asesino,"murderous, homicidal (intending, or likely to commit murder)",adjective,asesino,/aseˈsino/,a-se-si-no,si
674,encontrado,found,adjective,encontrado,/enkonˈtɾado/,en-con-tra-do,tra
675,control,"control, or running of a business",noun,control,/konˈtɾol/,con-trol,trol
676,odio,"hate, hatred, loathing (strong aversion; intense dislike)",noun,odio,/ˈodio/,o-dio,o
677,frente,"forehead, brow",noun,frente,/ˈfɾente/,fren-te,fren
678,sexo,sex (the biological category),noun,sexo,/ˈsekso/,se-xo,se
679,decirle,infinitive of decir combined with le,verb,decir él,/deˈsiɾle/,de-cir-le,cir
680,estaré,to be (have a temporary or permanent location in space),verb,estar,/estaˈɾe/,es-ta-ré,ré
681,divertido,"entertaining, amusing, funny",adjective,divertido,/dibeɾˈtido/,di-ver-ti-do,ti
682,armas,"weapon, arm",noun,arma,/ˈaɾmas/,ar-mas,ar
683,recuerdas,second-person singular present indicative of recordar,adjective,recuerda,/reˈkueɾdas/,re-cuer-das,cuer
684,amiga,"female equivalent of amigo, friend",noun,amiga,/aˈmiɡa/,a-mi-ga,mi
685,grupo,group,noun,grupo,/ˈɡɾupo/,gru-po,gru
686,asunto,"matter, issue, business",noun,asunto,/aˈsunto/,a-sun-to,sun
687,acabo,synonym of acabamiento,verb,acabar,/aˈkabo/,a-ca-bo,ca
688,mensaje,message,noun,mensaje,/menˈsaxe/,men-sa-je,sa
689,encima,on top of something,adverb,encima,/enˈsima/,en-ci-ma,ci
690,atención,attention,noun,atención,/atenˈsion/,a-ten-ción,ción
691,diferente,different,adjective,diferente,/difeˈɾente/,di-fe-ren-te,ren
692,uh,used to express disappointment or disdain,interjection,uh,/ˈu/,uh,uh
693,cállate,shut up!,verb,cállatir,/ˈkaʝate/,cá-lla-te,cá
694,daño,damage,noun,daño,/ˈdaɲo/,da-ño,da
695,sucede,inflection of suceder,verb,suceder,/suˈsede/,su-ce-de,ce
696,cambiar,"to change, to shift, to switch, to alter",verb,cambiar,/kamˈbiaɾ/,cam-biar,biar
697,siguiente,following,adjective,siguiente,/siˈɡiente/,si-guien-te,guien
698,sino,but (rather) (after a negative clause),conjunction,sino,/ˈsino/,si-no,si
699,seas,second-person singular present subjunctive of ser,noun,sea,/ˈseas/,se-as,se
700,médico,medical,adjective,médico,/ˈmediko/,mé-di-co,mé
701,boca,"mouth, oral cavity",noun,boca,/ˈboka/,bo-ca,bo
702,dejó,to leave (to place),verb,dejar,/deˈxo/,de-jó,jó
703,error,error,noun,error,/eˈroɾ/,e-rror,rror
704,jamás,never,adverb,jamás,/xaˈmas/,ja-más,más
705,largo,long (having much distance from one terminating point to another),adjective,largo,/ˈlaɾɡo/,lar-go,lar
706,pena,punishment,noun,pena,/ˈpena/,pe-na,pe
707,voz,voice,noun,voz,/ˈbos/,voz,voz
